pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.2749999999999999,0.2749999999999999,1.025,0.6,0.3,1.175,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P1,starring,60547,single,7.902892561983471,7.980371900826447,8.548553719008265,8.238636363636363,0.1549586776859504,8.135330578512397,3872
P10,narrator,1897,few,0.0,0.0,1.3574660633484164,0.0,0.0,0.0,221
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P10,narrator,1897,single,5.559845559845559,5.559845559845559,5.714285714285714,5.637065637065637,0.2316602316602316,5.637065637065637,1295
P11,showJudge,886,few,0.0,0.0,3.167420814479638,0.4524886877828055,0.0,3.167420814479638,221
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P11,showJudge,886,single,1.345291479820628,2.242152466367713,1.7937219730941705,1.345291479820628,0.0,1.7937219730941705,223
P11,storyEditor,27,few,0.0,0.0,0.0,0.0,0.0,0.0,108
P11,storyEditor,27,many,0.0,0.0,0.0,0.0,0.0,0.0,115
P11,storyEditor,27,single,0.0,0.0,0.0,0.0,0.0,0.0,223
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,9
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,0.591715976331361,1.183431952662722,0.591715976331361,1.183431952662722,0.0,1.183431952662722,169
P2,director,8321,few,0.3568242640499554,0.4460303300624442,0.9812667261373774,0.6244424620874219,0.3568242640499554,0.7136485280999109,1121
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,2.4250000000000003,2.5749999999999997,2.825,2.725,0.05,2.625,4000
P3,executiveProducer,7193,few,1.7639902676399026,1.7639902676399026,2.6155717761557176,2.3722627737226274,1.8856447688564475,4.318734793187348,1644
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,14
P3,executiveProducer,7193,single,3.3578174186778593,3.4627492130115427,3.952430919902063,3.5327037425673313,0.2448408534452605,3.777544596012592,2859
P4,presenter,6955,few,1.040118870728083,1.188707280832095,2.600297176820208,1.7830609212481423,1.188707280832095,2.600297176820208,1346
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P4,presenter,6955,single,16.03131381892444,16.269571136827775,17.903335602450646,17.29067392784207,0.136147038801906,16.8141592920354,2938
P5,creator,6755,few,2.6703499079189688,3.0386740331491713,6.445672191528545,4.511970534069982,3.2228360957642725,9.116022099447514,1086
P5,creator,6755,many,0.0,0.0,50.0,0.0,0.0,50.0,6
P5,creator,6755,single,8.3,8.674999999999999,10.05,9.45,0.7000000000000001,9.225,4000
P6,voice,6364,few,0.0884955752212389,0.0884955752212389,0.5309734513274336,0.0884955752212389,0.1769911504424778,0.7079646017699115,1130
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P6,voice,6364,single,5.090909090909091,5.090909090909091,5.454545454545454,5.454545454545454,0.0,5.090909090909091,275
P7,producer,4764,few,1.4234875444839856,1.4234875444839856,2.965599051008304,1.4234875444839856,1.4234875444839856,3.558718861209965,843
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P7,producer,4764,single,2.3109243697478994,2.34593837535014,3.011204481792717,2.8711484593837535,0.1750700280112045,2.5910364145658265,2856
P8,author,4612,few,0.3759398496240601,0.3759398496240601,1.5037593984962403,1.0025062656641603,0.6265664160401002,1.7543859649122806,798
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P8,author,4612,single,3.4118602761982126,3.5337124289195776,4.54914703493095,4.2648253452477665,0.0812347684809098,3.777416734362307,2462
P9,composer,2771,few,0.0,0.0,0.3802281368821292,0.0,0.0,0.0,263
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P9,composer,2771,single,2.186046511627907,2.186046511627907,2.372093023255814,2.2325581395348837,0.0465116279069767,2.2325581395348837,2150
