Index,pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
0,P1,author,19810,single,Q1,What book has Raymond Moody written?,Life After Life (book),Life After Life,hallucination,hallucination,correct,correct,hallucination,hallucination,0,0.6818181818181819,0.6666666666666666,0.8571428571428571,0.40293516672844226,0.8120937347412109
1,P1,author,19810,single,Q1,What book has Anne Desclos written?,Story of O,Story of O,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,0.9999998807907104
2,P1,author,19810,single,Q1,What book has R. J. Yeatman written?,1066 and All That,The Last Days of Krypton,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.16666666666666663,0.0,0.0,0.0,0.2974061369895935
3,P1,author,19810,single,Q1,What book has Iris Chang written?,The Rape of Nanking (book),The Rape of Nanking,hallucination,hallucination,correct,correct,correct,correct,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.9321401715278625
4,P1,author,19810,single,Q1,What book has Joan Lindsay written?,Picnic at Hanging Rock (novel),Picnic at Hanging Rock,hallucination,hallucination,correct,correct,correct,correct,0,0.7333333333333334,0.8,0.888888888888889,0.7788007830714049,0.8724818229675293
5,P1,author,19810,single,Q1,What book has Walter Lord written?,A Night to Remember (book),A Night to Remember,hallucination,hallucination,correct,correct,correct,hallucination,0,0.7307692307692308,0.8,0.888888888888889,0.7788007830714049,0.8438847064971924
6,P1,author,19810,single,Q1,What book has Robert W. Chambers written?,The King in Yellow,The King in Yellow,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
7,P1,author,19810,single,Q1,What book has William H. Armstrong written?,Sounder,Sounder,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.1778279410038923,1.0000001192092896
8,P1,author,19810,single,Q1,What book has Craig Harrison (writer) written?,The Quiet Earth,Rogue Heroes,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.19999999999999996,0.0,0.0,0.0,0.1772863268852234
9,P1,author,19810,single,Q1,What book has Grace Llewellyn written?,The Teenage Liberation Handbook,The Secret Book of Flora Lea,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.22580645161290325,0.1111111111111111,0.2,0.040824829046386304,0.18245694041252136
10,P1,author,19810,single,Q1,What book has Muriel Denison written?,Susannah of the Mounties,The Blue Castle,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.20833333333333337,0.0,0.28571428571428575,0.0,0.23367121815681458
11,P1,author,19810,single,Q1,What book has Satyam Sankaramanchi written?,Amaravati Kathalu,The Sun and the Red Thread,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.15384615384615385,0.0,0.0,0.0,0.0864962711930275
12,P1,author,19810,single,Q1,What book has Stella Gibbons written?,Cold Comfort Farm,Cold Comfort Farm,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,0.5623413251903491,1.0
13,P1,author,19810,single,Q1,What book has Mika Waltari written?,The Egyptian,The Egyptian,correct,correct,correct,correct,hallucination,correct,1,1.0,1.0,1.0,0.316227766016838,1.0
14,P1,author,19810,single,Q1,What book has Ellen Glasgow written?,Virginia (novel),The Ballad of Virginia,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09090909090909094,0.2,0.3333333333333333,0.08034284189446518,0.6789710521697998
15,P1,author,19810,single,Q1,What book has Gary K. Wolf written?,Who Censored Roger Rabbit?,The Master of Reason,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.3076923076923077,0.0,0.0,0.0,0.1382409632205963
16,P1,author,19810,single,Q1,What book has Mil Millington written?,Things My Girlfriend and I Have Argued About,The Disconnect,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.18181818181818177,0.0,0.0,0.0,0.09577270597219467
17,P1,author,19810,single,Q1,What book has Piri Thomas written?,Down These Mean Streets,Down These Mean Streets,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0000001192092896
18,P1,author,19810,single,Q1,What book has Mark Clifton written?,They'd Rather Be Right,The Green Leopard,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.31818181818181823,0.0,0.0,0.0,0.12071742862462997
19,P1,author,19810,single,Q1,What book has Will Durant written?,The Story of Civilization,The Story of Civilization,correct,correct,correct,correct,correct,correct,1,1.0,1.0,1.0,1.0,1.0
20,P1,author,19810,single,Q1,What book has John Henry Patterson (author) written?,The Man-eaters of Tsavo,The Game of Golf,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.4347826086956522,0.3333333333333333,0.4444444444444445,0.09554427922043669,0.11370955407619476
21,P1,author,19810,single,Q1,What book has Ethel Pedley written?,Dot and the Kangaroo,The Golden Cañon,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.19999999999999996,0.0,0.25,0.0,0.1909879744052887
22,P1,author,19810,single,Q1,What book has Michael Thomas Ford written?,Circle of Three,The Almost Moon,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.06666666666666665,0.0,0.0,0.0,0.226337730884552
23,P1,author,19810,single,Q1,What book has Isabella Beeton written?,Mrs Beeton's Book of Household Management,Mrs. Beeton's Book of Household Management,hallucination,correct,correct,correct,correct,correct,0,0.9761904761904762,0.7142857142857143,1.0,0.7598356856515925,0.9964062571525574
24,P1,author,19810,single,Q1,What book has Harold Coyle written?,Team Yankee,Frigate Bird,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0,0.0,0.0,0.0,0.19281107187271118
25,P1,author,19810,single,Q1,What book has Vasily Aksyonov written?,Generations of Winter,"The Pencil, Flight",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1428571428571429,0.0,0.0,0.0,0.16508275270462036
26,P1,author,19810,single,Q1,What book has Don L. Wulffson written?,Soldier X,The Great Escape (novel),hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.08333333333333337,0.0,0.0,0.0,0.1358594298362732
27,P1,author,19810,single,Q1,What book has Jason Clarke (writer) written?,Michael Moore Is a Big Fat Stupid White Man,The Last Herald-Dragon Chronicles,hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.16279069767441856,0.0,0.0,0.0,-0.11075977981090546
