metric,group,elasticity
exact_match,single,4.3495766161131675
exact_match,few,0.0964921259489788
exact_match,many,
exact_match,few+many,0.0482460629744893
edit_sim,single,4.864769605696999
edit_sim,few,0.2894763778469364
edit_sim,many,
edit_sim,few+many,0.1447381889234681
jaccard_sim,single,4.95677690086871
jaccard_sim,few,1.447381889234682
jaccard_sim,many,
jaccard_sim,few+many,0.7236909446173408
rouge_l,single,5.260186676774625
rouge_l,few,1.7368582670816184
rouge_l,many,
rouge_l,few+many,0.868429133540809
bleu,single,1.0218042270727634
bleu,few,0.2894763778469364
bleu,many,
bleu,few+many,0.1447381889234681
bert_cosine,single,5.494381921667009
bert_cosine,few,2.1228267708775337
bert_cosine,many,
bert_cosine,few+many,1.0614133854387664
