pattern_id,predicate,sup,card_class,acc_exact_match%,acc_edit_sim%,acc_jaccard_sim%,acc_rouge_l%,acc_bleu%,acc_bert_cosine%,n_q
P1,starring,60547,few,0.0,0.0,0.2249999999999999,0.1,0.05,0.1,4000
P1,starring,60547,many,0.0,0.0,0.0,0.0,0.0,0.0,11
P1,starring,60547,single,0.8500000000000001,0.8750000000000001,1.2,1.075,0.575,1.05,4000
P10,narrator,1897,few,0.0,0.0,0.3937007874015747,0.3937007874015747,0.0,0.0,254
P10,narrator,1897,many,0.0,0.0,0.0,0.0,0.0,0.0,8
P10,narrator,1897,single,0.7838745800671892,0.7838745800671892,0.8958566629339306,0.7838745800671892,0.4479283314669653,0.8958566629339306,893
P11,showJudge,886,few,0.9433962264150944,0.9433962264150944,6.60377358490566,1.8867924528301887,0.9433962264150944,4.716981132075472,106
P11,showJudge,886,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P11,showJudge,886,single,3.061224489795918,3.4013605442176873,6.292517006802721,5.272108843537415,2.7210884353741496,4.081632653061225,588
P11,storyEditor,27,many,0.0,0.0,0.9090909090909092,0.9090909090909092,0.9090909090909092,1.818181818181818,110
P11,storyEditor,27,single,0.3401360544217687,0.5102040816326531,1.020408163265306,0.6802721088435374,0.1700680272108843,0.8503401360544218,588
P12,creativeDirector,192,few,0.0,0.0,0.0,0.0,0.0,0.0,16
P12,creativeDirector,192,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P12,creativeDirector,192,single,3.8461538461538463,3.8461538461538463,3.8461538461538463,3.8461538461538463,1.9230769230769231,3.8461538461538463,52
P2,director,8321,few,0.0,0.0,0.0704721634954193,0.0704721634954193,0.0,0.0704721634954193,1419
P2,director,8321,many,0.0,0.0,0.0,0.0,0.0,0.0,5
P2,director,8321,single,0.5545286506469501,0.6161429451632778,0.8626001232285889,0.7393715341959335,0.3080714725816389,0.7393715341959335,1623
P3,executiveProducer,7193,few,0.0,0.0,0.0828500414250207,0.0828500414250207,0.0,0.1657000828500414,1207
P3,executiveProducer,7193,many,0.0,0.0,0.0,0.0,0.0,0.0,3
P3,executiveProducer,7193,single,1.547029702970297,1.547029702970297,2.4752475247524752,2.0420792079207923,0.99009900990099,2.0420792079207923,1616
P4,presenter,6955,few,0.0,0.0,0.7223113964686998,0.5617977528089888,0.0802568218298555,0.5617977528089888,1246
P4,presenter,6955,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P4,presenter,6955,single,1.6906474820143884,2.014388489208633,3.1294964028776975,2.338129496402878,0.8633093525179856,2.6258992805755397,2780
P5,creator,6755,few,0.0,0.0,0.2757352941176471,0.1838235294117647,0.0919117647058823,0.3676470588235294,1088
P5,creator,6755,many,0.0,0.0,0.0,0.0,0.0,0.0,4
P5,creator,6755,single,1.456953642384106,1.5011037527593818,2.428256070640177,1.9426048565121412,0.9713024282560706,2.0309050772626933,2265
P6,voice,6364,few,0.1096491228070175,0.1096491228070175,0.1096491228070175,0.1096491228070175,0.0,0.3289473684210526,912
P6,voice,6364,many,0.0,0.0,0.0,0.0,0.0,0.0,2
P6,voice,6364,single,0.4587155963302752,0.4587155963302752,1.376146788990826,0.655307994757536,0.1310615989515072,0.655307994757536,1526
P7,producer,4764,few,0.0,0.0,0.0,0.0,0.0,0.0,762
P7,producer,4764,many,0.0,0.0,0.0,0.0,0.0,0.0,6
P7,producer,4764,single,0.7611241217798594,0.7611241217798594,0.9953161592505856,0.819672131147541,0.351288056206089,0.819672131147541,1708
P8,author,4612,few,0.0,0.116822429906542,0.233644859813084,0.3504672897196261,0.116822429906542,0.233644859813084,856
P8,author,4612,many,0.0,0.0,0.0,0.0,0.0,0.0,9
P8,author,4612,single,0.2649708532061473,0.3179650238473768,0.688924218335983,0.5829358770535241,0.1589825119236884,0.6359300476947536,1887
P9,composer,2771,few,0.0,0.0,0.2392344497607655,0.0,0.0,0.2392344497607655,418
P9,composer,2771,many,0.0,0.0,0.0,0.0,0.0,0.0,1
P9,composer,2771,single,0.9708737864077668,1.132686084142395,0.9708737864077668,1.132686084142395,0.3236245954692557,1.2944983818770228,618
